id,gender,Age,abonoment_type,visit_per_week,attend_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,drink_abo,personal_training,name_personal_trainer,uses_sauna,Mon,Tue,Wed,Thu,Fri,Sat,Sun,has_fav_group_lesson,Group_Lesson_Kickboxen,Group_Lesson_BodyPump,Group_Lesson_Zumba,Group_Lesson_XCore,Group_Lesson_Running,Group_Lesson_Yoga,Group_Lesson_LesMiles,Group_Lesson_Pilates,Group_Lesson_HIT,Group_Lesson_Spinning,Group_Lesson_BodyBalance,has_fav_drink,fav_drink_berryboost,fav_drink_lemon,fav_drink_passion_fruit,fav_drink_coconut_pineapple,fav_drink_orange,fav_drink_black_currant
1,Female,27,Premium,4,1,19:31:00,21:27:00,116,0,0,No PT,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Female,47,Standard,3,0,19:31:00,20:19:00,48,0,1,Chantal,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Male,41,Premium,1,1,8:29:00,10:32:00,123,1,1,Mike,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4,Male,44,Premium,3,0,9:54:00,11:33:00,99,1,1,Mike,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,Male,44,Standard,2,1,8:29:00,9:19:00,50,0,1,Mike,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Female,15,Standard,1,0,17:19:00,20:19:00,180,0,0,No PT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Male,30,Premium,3,1,19:46:00,20:48:00,62,0,0,No PT,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Male,20,Standard,2,1,17:45:00,19:20:00,95,1,0,No PT,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
9,Male,46,Premium,3,1,9:45:00,11:17:00,92,1,1,Mike,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,Female,24,Premium,1,0,13:05:00,15:29:00,144,0,1,Jeffrey,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Male,41,Standard,1,0,13:50:00,14:26:00,36,0,1,Hanna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Male,27,Premium,3,1,10:12:00,10:45:00,33,1,1,Mike,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
13,Female,30,Standard,2,1,17:04:00,19:42:00,158,1,0,No PT,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
14,Female,35,Premium,3,0,19:50:00,20:51:00,61,1,0,No PT,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,Female,35,Premium,1,0,20:12:00,22:37:00,145,1,1,Mike,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
16,Female,36,Standard,4,1,17:28:00,18:29:00,61,0,0,No PT,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
